ACADEMIC_YEAR ACADEMIC_TERM EVENT_ID START_DATE PERSON_CODE_ID PEOPLE_ID STATUS_DATE LAST_YEAR LAST_TERM MID_GRADE FINAL_GRADE
2019 SPRING MATH116 09-Jan-2019 P089009198 3fdffc77 09-Jan-2019 2019 SPRING B B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fecd5cd 06-Nov-2018 2020 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe3e8f5 14-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe61dff 14-Dec-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe9b28f 13-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff4bf59 08-Jan-2019 2019 FALL A C
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe629cb 08-Jan-2019 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe88cbb 01-Nov-2018 2019 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fee828d 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe4b57d 08-Jan-2019 2019 SPRING A B
2019 SPRING MATH116 09-Jan-2019 P089009198 3feffaa5 10-Jan-2019 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff2277b 05-Dec-2018 2019 SPRING F F
2019 SPRING MATH116 09-Jan-2019 P089009198 3feaf9d3 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff00bc1 30-Nov-2018 2020 SPRING A A
2019 SPRING MATH116 09-Jan-2019 P089009198 3fd80ebd 31-Oct-2018 2020 SPRING B A
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff10b43 07-Jan-2019 2019 SPRING B D
2019 SPRING MATH116 09-Jan-2019 P089009198 3fe62c0f 27-Dec-2018 2019 SUMMER C C
2019 SPRING MATH116 09-Jan-2019 P089009198 3ff076bf 03-Jan-2019 2019 SPRING F W
ACADEMIC_YEAR ACADEMIC_TERM EVENT_ID START_DATE PERSON_CODE_ID PEOPLE_ID STATUS_DATE LAST_YEAR LAST_TERM MID_GRADE FINAL_GRADE
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe76593 31-Oct-2018 2020 SPRING D+ D
2019 SPRING MATH117 09-Jan-2019 P107265286 3fed3635 15-Jan-2019 2020 SPRING F D
2019 SPRING MATH117 09-Jan-2019 P107265286 3fd79ef1 01-Nov-2018 2020 SPRING F W
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff07d6d 25-Oct-2018 2019 SPRING C- F
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe3f38b 08-Nov-2018 2019 FALL B+ B
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff22613 09-Nov-2018 2019 SPRING D+ C-
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe66445 30-Oct-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107265286 3ba7bb27 25-Oct-2018 2020 SPRING C C
2019 SPRING MATH117 09-Jan-2019 P107265286 3feeae9d 09-Nov-2018 2020 SPRING A- A-
2019 SPRING MATH117 09-Jan-2019 P107265286 3fefeab5 06-Nov-2018 2020 SPRING A+ A+
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff0724b 08-Nov-2018 2020 SPRING  W
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe6bba7 30-Oct-2018 2020 SPRING A- A
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff005c7 09-Nov-2018 2019 SPRING  W
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe07a0d 09-Nov-2018 2019 SPRING F D
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff0bbed 11-Jan-2019 2019 FALL C D+
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff00117 14-Jan-2019 2020 SPRING C+ C
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff224fb 08-Nov-2018 2019 SPRING B+ B
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff0003b 09-Nov-2018 2020 SPRING D F
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe9f42f 01-Nov-2018 2020 SPRING D C-
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe41249 01-Nov-2018 2020 SPRING D+ C
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff06535 26-Dec-2018 2020 SPRING C B
2019 SPRING MATH117 09-Jan-2019 P107265286 3fdff5ab 09-Nov-2018 2020 SPRING B C
2019 SPRING MATH117 09-Jan-2019 P107265286 3fefe6cd 08-Nov-2018 2020 SPRING B+ C
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff222b7 08-Nov-2018 2020 SPRING B B-
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff20b79 09-Nov-2018 2020 SPRING A A
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff0fef5 08-Nov-2018 2019 SUMMER F F
2019 SPRING MATH117 09-Jan-2019 P107265286 3fec5b57 14-Jan-2019 2020 SPRING C- C
2019 SPRING MATH117 09-Jan-2019 P107265286 3fe72489 06-Nov-2018 2019 SPRING C- C
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff00f9f 09-Nov-2018 2019 FALL C C
2019 SPRING MATH117 09-Jan-2019 P107265286 3ff3ae75 15-Jan-2019 2020 SPRING A+ A+
