Semester Taken,ID,Mathrecommendation,Adjusted Score,Raw Score
SP2019,   3ff3736f,   MATH120,,32
SP2019,   3ff37423,   MATH115,,19
SP2019,   3ff3747d,   MATH112,,22
SP2019,   3ff37491,   MATH120,,31
SP2019,   3ff37491,   MATH120,,31
SP2019,   3ff374a5,   MATH120,,35
SP2019,   3ff3751d,   MATH120,,24
SP2019,   3ff37801,   MATH115,,19
SP2019,   3ff3795f,   MATH112,,17
SP2019,   3ff3797d,   MATH120,,33
SP2019,   3ff379b9,   MATH120,,25
SP2019,   3ff37a77,   MATH120,,30
SP2019,   3ff37c4d,   MATH120,,25
SP2019,   3ff37c4d,   MATH120,,25
SP2019,   3ff37c89,   MATH112,,13
SP2019,   3ff37eaf,   MATH115,,18
SP2019,   3ff37eeb,   MATH120,,26
SP2019,   3ff37eff,   MATH115,,17
SP2019,   3ff3800d,   MATH112,,19
SP2019,   3ff380a3,   MATH115,,22
SP2019,   3ff380a3,   MATH112,,20
SP2019,   3ff383a5,   MATH120,,26
SP2019,   3ff38693,   MATH115,,13
SP2019,   3ff38747,   MATH120,,26
SP2019,   3ff3884b,   MATH115,,23
SP2019,   3ff3893b,   MATH112,,12
SP2019,   3ff3899f,   MATH120,,29
SP2019,   3ff38a85,   MATH115,,12
SP2019,   3ff38b61,   MATH112,,16
SP2019,   3ff38c5b,   MATH112,,10
SP2019,   3ff38d37,   MATH112,,12
SP2019,   3ff38d55,   MATH115,,16
SP2019,   3ff38f49,   MATH112,,19
SP2019,   3ff38f53,   MATH112,,14
SP2019,   3ff38fd5,   MATH115,,15
SP2019,   3ff38ff3,   MATH115,,19
SP2019,   3ff391a1,   MATH120,,26
SP2019,   3ff3934f,   MATH120,,25
SP2019,   3ff39417,   MATH112,,15
SP2019,   3ff39449,   MATH112,,15
SP2019,   3ff39561,   MATH115,,22
SP2019,   3ff397af,   MATH112,,4
SP2019,   3ff3992b,   MATH120,,31
SP2019,   3ff3995d,   MATH115,,20
SP2019,   3ff399a3,   MATH112,,6
SP2019,   3ff39a07,   MATH112,,11
SP2019,   3ff39ad9,   MATH112,,11
SP2019,   3ff39b29,   MATH112,,21
SP2019,   3ff39dbd,   MATH112,,25
SP2019,   3ff39dbd,   MATH112,,25
SP2019,   3ff39dbd,   MATH112,,25
SP2019,   3ff39e2b,   MATH115,,21
SP2019,   3ff39ead,   MATH120,,35
SP2019,   3ff39fbb,   MATH120,,30
SP2019,   3ff3a06f,   MATH112,,22
SP2019,   3ff3a0a1,   MATH115,,19
SP2019,   3ff3a0c9,   MATH120,,31
SP2019,   3ff3a1e1,   MATH120,,32
SP2019,   3ff3a213,   MATH112,,16
SP2019,   3ff3a2c7,   MATH120,,27
SP2019,   3ff3a32b,   MATH115,,22
SP2019,   3ff3a3b7,   MATH120,,25
SP2019,   3ff3a3e9,   MATH115,,13
SP2019,   3ff3a47f,   MATH120,,28
SP2019,   3ff3a49d,   MATH120,,36
SP2019,   3ff3a501,   MATH112,,22
SP2019,   3ff3a51f,   MATH112,,10
SP2019,   3ff3a533,   MATH112,,17
SP2019,   3ff3a64b,   MATH120,,25
SP2019,   3ff3a669,   MATH115,,21
SP2019,   3ff3a6b9,   MATH112,,21
SP2019,   3ff3a727,   MATH120,,33
SP2019,   3ff3a73b,   MATH120,,29
SP2019,   3ff3a74f,   MATH112,,17
SP2019,   3ff3a80d,   MATH120,,26
SP2019,   3ff3a821,   MATH112,,9
SP2019,   3ff3a85d,   MATH120,,23
SP2019,   3ff3a8b7,   MATH112,,15
SP2019,   3ff3a8c1,   MATH120,,30
SP2019,   3ff3a8df,   MATH120,,31
SP2019,   3ff3a8e9,   MATH115,,25
SP2019,   3ff3a8f3,   MATH112,,18
SP2019,   3ff3aa79,   MATH120,,27
SP2019,   3ff3aa8d,   MATH115,,18
SP2019,   3ff3ab4b,   MATH115,,25
SP2019,   3ff3ab69,   MATH120,,23
SP2019,   3ff3ac45,   MATH115,,19
SP2019,   3ff3ad3f,   MATH120,,25
SP2019,   3ff3ae89,   MATH120,,30
SP2019,   3ff3b31b,   MATH120,,35
SP2019,   3ff3bb27,   MATH120,,31
SP2019,   3ff3d96d,   MATH112,,20
SP2019,   3ff3db25,   MATH112,,20
SP2019,   3ff3f623,   MATH112,,19
SP2019,   3ff40d1b,   MATH115,,23
SP2019,   3ff41347,   MATH120,,29
SP2019,   3ff415e5,   MATH120,,24
SP2019,   3ff429f9,   MATH120,,29
SP2019,   3ff42da5,   MATH112,,9
SP2019,   3ff42e81,   MATH112,,11
SP2019,   3ff42edb,   MATH112,,15
SP2019,   3ff4304d,   MATH112,,19
SP2019,   3ff45b4f,   MATH120,,27
SP2019,   3ff4631f,   MATH112,,13
SP2019,   3ff493e9,   MATH120,,27
SP2019,   3ff495ab,   MATH112,,10
SP2019,   3ff497bd,   MATH120,,31
SP2019,   3ff4980d,   MATH115,,17
SP2019,   3ff49b19,   MATH115,,22
SP2019,   3ff49b4b,   MATH115,,18
SP2019,   3ff49d21,   MATH115,,16
SP2019,   3ff4a023,   MATH120,,32
SP2019,   3ff4a113,   MATH112,,15
SP2019,   3ff4a3cf,   MATH112,,25
SP2019,   3ff4a4e7,   MATH120,,34
SP2019,   3ff4a64f,   MATH112,,18
SP2019,   3ff4a663,   MATH112,,13
SP2019,   3ff4a6e5,   MATH120,,24
SP2019,   3ff4a811,   MATH120,,24
SP2019,   3ff4a843,   MATH115,,25
SP2019,   3ff4aaff,   MATH112,,17
SP2019,   3ff4ad4d,   MATH115,,21
SP2019,   3ff4af23,   MATH115,,17
SP2019,   3ff4af37,   MATH120,,35
SP2019,   3ff4af91,   MATH112,,9
