2019,          SPRING,        MATH209,        P008616066,    3fe30b3d,        01-Nov-2018,        A-,        B,        
2019,          SPRING,        MATH209,        P089003876,    3fe312c7,        31-Oct-2018,        B,        A,        
2019,          SPRING,        MATH120,        P100021964,    3fe31e9d,        31-Oct-2018,        D+,        C-,        
2019,          SPRING,        MATH209,        P107265288,    3fe3200f,        31-Oct-2018,        C+,        B,        
2019,          FALL,        MATH116,        P089003876,    3fe3200f,        26-Mar-2019,        A,        A,        
2019,          SPRING,        MATH120,        P100021964,    3fe3202d,        01-Nov-2018,        C,        C-,        
2019,          FALL,        MATH117,        P100021964,    3fe32433,        27-Mar-2019,        C,        C-,        
2019,          SPRING,        MATH116,        P107180114,    3fe327df,        31-Oct-2018,        D,        B,
2019,          FALL,        MATH117,        P100021964,    3fe32893,        21-Mar-2019,        C,        C-,        
2019,          SPRING,        MATH115,        P008616066,    3fe32893,        30-Oct-2018,        C,        C,        
2019,          SPRING,        MATH209,        P100021964,    3fe32f73,        08-Nov-2018,        D,        D,        
2019,          SPRING,        MATH209,        P093001886,    3fe336df,        08-Nov-2018,        A,        B,        
2019,          SPRING,        MATH209,        P002014415,    3fe34e77,        30-Oct-2018,        A,        A+,        
2019,          SPRING,        MATH209,        P002014415,    3fe35183,        02-Dec-2018,        A,        B,        
2019,          FALL,        MATH209,        P107307329,    3fe35ab1,        09-Aug-2019,        C,        B-,        
2019,          FALL,        MATH116,        P089003876,    3fe35ceb,        22-Mar-2019,        A,        A,        
2019,          SPRING,        MATH209,        P100021964,    3fe366ff,        11-Dec-2018,        A,        B-,        
2019,          FALL,        MATH116,        P091007905,    3fe367c7,        27-Mar-2019,        B+,        C+,        
2019,          FALL,        MATH209,        P107265288,    3fe367c7,        09-May-2019,        B+,        C,        
2019,          SPRING,        MATH209,        P089003876,    3fe36a5b,        31-Oct-2018,        A,        A,        
2019,          SPRING,        MATH116,        P100062478,    3fe3790b,        07-Nov-2018,        B+,        B,        
2019,          SPRING,        MATH116,        P107266245,    3fe37cfd,        08-Nov-2018,        C,        D,        
2019,          SPRING,        MATH116,        P107265286,    3fe37d89,        07-Nov-2018,        ,        W,        
2019,          SPRING,        MATH209,        P100062478,    3fe3892d,        30-Oct-2018,        B,        B,        
2019,          FALL,        MATH209,        P107307329,    3fe398eb,        02-Apr-2019,        D,        D-,        
2019,          FALL,        MATH209,        P093001886,    3fe3ae3f,        26-Mar-2019,        D,        C+,        
2019,          SPRING,        MATH209,        P089003876,    3fe3b259,        09-Nov-2018,        B,        B,        
2019,          FALL,        MATH112,        P107180114,    3fe3b259,        04-Apr-2019,        B,        B,        
2019,          SPRING,        MATH116,        P089009198,    3fe3d99b,        25-Oct-2018,        A,        A,        
2019,          SPRING,        MATH116,        P107180114,    3fe3dac7,        30-Oct-2018,        C+,        A,        
2019,          SPRING,        MATH115,        P107266245,    3fe3e8eb,        09-Jan-2019,        D,        D,        
2019,          SPRING,        MATH116,        P089009198,    3fe3e8f5,        14-Nov-2018,        A,        A,        
2019,          FALL,        MATH120,        P093001886,    3fe3e981,        05-Aug-2019,        A,        B+,        
2019,          SPRING,        MATH117,        P107265286,    3fe3f38b,        08-Nov-2018,        B+,        B,        
2019,          SPRING,        MATH116,        P107266245,    3fe3f4fd,        01-Nov-2018,        D,        C,        
2019,          SPRING,        MATH209,        P107265288,    3fe3fb51,        30-Oct-2018,        A,        A-,        
2019,          FALL,        MATH209,        P107307329,    3fe3fba1,        28-Mar-2019,        B,        B,        
2019,          SPRING,        MATH117,        P107265286,    3fe41249,        01-Nov-2018,        D+,        C,        
2019,          SPRING,        MATH117,        P107180113,    3fe4150f,        08-Nov-2018,        A,        B,        
2019,          SPRING,        MATH209,        P107265288,    3fe422a7,        09-Nov-2018,        A-,        C+,        
2019,          SPRING,        MATH209,        P002014415,    3fe439c7,        30-Oct-2018,        C,        D,        
2019,          FALL,        MATH116,        P089003876,    3fe439c7,        21-Mar-2019,        D-,        D-,        
2019,          FALL,        MATH116,        P107180114,    3fe44ddb,        19-Aug-2019,        A,        C,        
2019,          SPRING,        MATH209,        P002014415,    3fe45e1b,        07-Nov-2018,        A,        A-,        
2019,          FALL,        MATH120,        P100021964,    3fe46edd,        21-Jun-2019,        B+,        B-,        
2019,          SPRING,        MATH116,        P107266245,    3fe473bf,        20-Dec-2018,        B,        B,        
